feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
RIBOSYN2_PWY_flavin_biosyn_I	diagnosis	CD	-1.45580947524537	0.262719293720549	463	291	5.05726981166691e-08	9.40652184970045e-06
PWY_7199_pyrimidine_dns_salvage	diagnosis	CD	-1.01066045988984	0.196129468441711	463	420	3.80805994766448e-07	3.54149575132797e-05
PWY_5690_TCA_cyc_II	diagnosis	CD	-1.12306874137592	0.23031255919125	463	219	1.49053531723596e-06	9.24131896686295e-05
PWY_7279_aerobic_respiration_II	diagnosis	CD	-1.8876895978691	0.405476436591959	463	232	4.23237495404625e-06	0.000196805435363151
COA_PWY_coenzyme_A_biosyn_I	diagnosis	CD	0.642990988564011	0.145555281839936	463	445	1.24568279918426e-05	0.000386161667747122
PWY_4242_pantothenate__coenzyme_A_biosyn_III	diagnosis	CD	0.927193700161577	0.208180064260761	463	418	1.05979193327542e-05	0.000386161667747122
SER_GLYSYN_PWY_SP_of_L_serine__glycine_biosyn_I	diagnosis	CD	-0.761455956860346	0.174456000534991	463	449	1.57236355802375e-05	0.000417799459703453
PWY_3781_aerobic_respiration_I	diagnosis	CD	-1.30290457811512	0.30527161396686	463	337	2.39524203308562e-05	0.000445515018153926
PWY_5030_L_histidine_deg_III	diagnosis	CD	-1.38688132642744	0.322670308694459	463	356	2.10278976316784e-05	0.000445515018153926
PYRIDNUCSYN_PWY_NAD_biosyn_I	diagnosis	CD	-0.86071447623826	0.201507101581125	463	434	2.36070861415998e-05	0.000445515018153926
PWY_6124_inosine_5_phosphate_biosyn_II	diagnosis	CD	0.44060700942494	0.10514707125696	463	460	3.33866162671464e-05	0.000564537329608113
PWY_7539_6_hydroxymethyl_dihydropterin_diphosphate_biosyn_III	diagnosis	CD	1.298602236264	0.315142748632207	463	311	4.47909077037788e-05	0.000694259069408572
FUCCAT_PWY_fucose_deg	diagnosis	CD	-1.22681860054353	0.30345760576802	463	152	6.18934755656461e-05	0.000885552804246937
TCA_TCA_cyc_I	diagnosis	CD	-0.896490009033678	0.224331718992279	463	236	7.49020754529696e-05	0.000995127573875167
PANTOSYN_PWY_pantothenate__coenzyme_A_biosyn_I	diagnosis	CD	0.504887025758075	0.127806298172219	463	441	9.02330500030791e-05	0.00111888982003818
PWY_7229_SP_of_adenosine_nt_de_novo_biosyn_I	diagnosis	CD	0.363348965635739	0.0946321317816662	463	457	0.000140459474962862	0.00163284139644327
PWY_6147_6_hydroxymethyl_dihydropterin_diphosphate_biosyn_I	diagnosis	CD	1.18811214169421	0.314729212932856	463	329	0.000180891562002249	0.00197916650190696
PWY_7383_anaerobic_energy_metabolism	diagnosis	CD	-1.08783105217064	0.290158029347298	463	427	0.000200035560620838	0.00206703412641533
PWY_6163_chorismate_biosyn_from_3_dehydroquinate	diagnosis	CD	-0.415324619295148	0.111991009584681	463	458	0.000233837931325562	0.00228915027508182
PWY_6122_5_aminoimidazole_rnt_biosyn_II	diagnosis	CD	-0.199018629570432	0.0541972035601049	463	463	0.000268733493258584	0.00238021094029032
PWY_6277_SP_of_5_aminoimidazole_rnt_biosyn	diagnosis	CD	-0.199018629570432	0.0541972035601049	463	463	0.000268733493258584	0.00238021094029032
PWY_5686_UMP_biosyn	diagnosis	CD	-0.17522065452948	0.0486570410065017	463	463	0.000351225755818968	0.00296945411737854
PWY_7456_mannan_deg	diagnosis	CD	-0.741166391051309	0.209730582147765	463	147	0.00045079309336723	0.00364554414636108
PWY_6121_5_aminoimidazole_rnt_biosyn_I	diagnosis	CD	-0.172038215224404	0.0506023651676375	463	463	0.000732939629715817	0.00568028213029758
COMPLETE_ARO_PWY_SP_of_aromatic_amino_acid_biosyn	diagnosis	CD	-0.310631482758604	0.0925265325487489	463	451	0.000852512195277016	0.006342690732861
ARO_PWY_chorismate_biosyn_I	diagnosis	CD	-0.334855883142955	0.100631515252631	463	453	0.000946278874866036	0.00676953348942626
DAPLYSINESYN_PWY_L_lysine_biosyn_I	diagnosis	CD	-0.677299701282671	0.207340523758718	463	362	0.00116965494371062	0.00805762294556205
PWY_6123_inosine_5_phosphate_biosyn_I	diagnosis	CD	0.238327271144451	0.0761932127811262	463	460	0.00187188126754687	0.0120058591642661
PWY_6270_isoprene_biosyn_I	diagnosis	CD	-0.607740225734302	0.194208271738664	463	112	0.00186323999531301	0.0120058591642661
UDPNAGSYN_PWY_UDP_N_acetyl_D_glucosamine_biosyn_I	diagnosis	CD	-0.865843485112839	0.277945585502269	463	272	0.00195313171216225	0.0121094166154059
PWY_6700_queuosine_biosyn	diagnosis	CD	0.427190044220466	0.138149300489694	463	448	0.00210705411115888	0.0126423246669533
PWY_7220_adenosine_dnt_de_novo_biosyn_II	diagnosis	CD	0.348665947215528	0.114691781223131	463	456	0.00250021390737012	0.0140921147506316
PWY_7222_guanosine_dnt_de_novo_biosyn_II	diagnosis	CD	0.348665947215528	0.114691781223131	463	456	0.00250021390737012	0.0140921147506316
P105_PWY_TCA_cyc_IV	diagnosis	CD	-0.545914483026982	0.180252056855191	463	50	0.00259463244651131	0.0141941657367972
PWY_6901_SP_of_glucose__xylose_deg	diagnosis	CD	-0.662531156209881	0.221627070899738	463	265	0.00294473540986882	0.0151056902686377
PWY_7560_methylerythritol_phosphate_pwy_II	diagnosis	CD	-0.588407679263	0.197095708695242	463	114	0.00298282530303376	0.0151056902686377
PWY0_1296_purine_rns_deg	diagnosis	CD	0.372939356314486	0.125017761119664	463	461	0.00300489537601933	0.0151056902686377
PWY_6126_SP_of_adenosine_nt_de_novo_biosyn_II	diagnosis	CD	0.311461367373342	0.105984527407967	463	456	0.00346081406784607	0.0167688703020167
PWY0_1479_tRNA_processing	diagnosis	CD	0.826148674239864	0.281602681120476	463	241	0.00351605345042286	0.0167688703020167
PWY_6969_TCA_cyc_V	diagnosis	CD	-0.697554361673392	0.241114029817216	463	239	0.00399590481232457	0.0185809573773093
GLUCONEO_PWY_gluconeogenesis_I	diagnosis	CD	-1.01657991310746	0.354248515416544	463	315	0.00429771915859556	0.0194969698414335
HISDEG_PWY_L_histidine_deg_I	diagnosis	CD	-1.0360876126617	0.363791713001787	463	356	0.00459579020979209	0.0203527852147935
PWY66_399_gluconeogenesis_III	diagnosis	CD	-0.945131147305157	0.336619397945107	463	410	0.00520109916609921	0.0224977777882431
ARGININE_SYN4_PWY_L_ornithine_de_novo_biosyn	diagnosis	CD	0.475178406272666	0.173622648825806	463	444	0.00644282607230245	0.0272355829420058
PWY_621_sucrose_deg_III	diagnosis	CD	-0.56507499123862	0.207782709988974	463	444	0.00678396145689742	0.0280403740218427
PWY_6545_pyrimidine_dnt_de_novo_biosyn_III	diagnosis	CD	-0.482140543355784	0.183304289444728	463	398	0.00881707870159777	0.0356516660542866
PWY_7197_pyrimidine_dnt_phosphorylation	diagnosis	CD	-0.362611265319991	0.145673399438385	463	448	0.0131544670850134	0.0520581037832445
PWY_6125_SP_of_guanosine_nt_de_novo_biosyn_II	diagnosis	CD	0.256151295299017	0.104918828438415	463	454	0.0150045719189768	0.0581427161860349
NONMEVIPP_PWY_methylerythritol_phosphate_pwy_I	diagnosis	CD	-0.12599958066279	0.0527337535706251	463	462	0.0172790629754471	0.0642781142686631
P108_PWY_pyruvate_fermentation_to_propanoate_I	diagnosis	CD	-0.567736988693595	0.237609293579576	463	243	0.0172782063484688	0.0642781142686631
METSYN_PWY_L_homoserine__L_methionine_biosyn	diagnosis	CD	-0.669236618623196	0.282046119496283	463	224	0.0180635387868782	0.0658787885168499
MET_SAM_PWY_SP_of_S_adenosyl_L_methionine_biosyn	diagnosis	CD	-0.683781845225862	0.293898299000692	463	224	0.0204194293427494	0.071660638825498
PWY_6386_UDP_N_acetylmuramoyl_pentapeptide_biosyn_II	diagnosis	CD	-0.111912506689545	0.0480462582974434	463	461	0.0202761593249725	0.071660638825498
CALVIN_PWY_Calvin_Benson_Bassham_cyc	diagnosis	CD	-0.157138144587787	0.06797499189267	463	461	0.0212339246693159	0.0731390738609771
PWY_6527_stachyose_deg	diagnosis	CD	0.329254585658045	0.147166286411675	463	448	0.0257441194933711	0.0870619313775824
PWY66_422_D_galactose_deg_V	diagnosis	CD	0.319336216583721	0.144650767861866	463	454	0.0277614077743586	0.0922075329648339
PWY0_1298_SP_of_pyrimidine_dns_deg	diagnosis	CD	-0.616698230842996	0.281592148684381	463	247	0.0290216092069618	0.0947020932016649
PWY_5347_SP_of_L_methionine_biosyn	diagnosis	CD	-0.593003637822531	0.275587286444737	463	223	0.0319332592123093	0.102406658853268
PWY_5100_pyruvate_fermentation_to_acetate__lactate_II	diagnosis	CD	0.333450059703502	0.156935461210245	463	451	0.0341381256678994	0.107621887698802
PWY_5188_tetrapyrrole_biosyn_I	diagnosis	CD	0.449523188850614	0.217318955566033	463	420	0.0391505058323483	0.119376952210111
TRNA_CHARGING_PWY_tRNA_charging	diagnosis	CD	-0.402571991952544	0.19398772065184	463	426	0.0385178720205984	0.119376952210111
PWY_7663_gondoate_biosyn	diagnosis	CD	0.192382865159675	0.09414491778572	463	460	0.0415733050633841	0.123442997959506
PWY0_162_SP_of_pyrimidine_rnt_de_novo_biosyn	diagnosis	CD	-0.257325621772376	0.126072945610071	463	449	0.0418113380185424	0.123442997959506
PWY_7234_inosine_5_phosphate_biosyn_III	diagnosis	CD	-0.480703531039266	0.237606863449421	463	421	0.0436389886513446	0.12682581076797
PWY_6151_S_adenosyl_L_methionine_cyc_I	diagnosis	CD	-0.199536115461152	0.0996715250136526	463	456	0.0458768997185687	0.129951777214851
PWY_6168_flavin_biosyn_III	diagnosis	CD	0.204022919890784	0.102539537828695	463	446	0.0472143390908743	0.129951777214851
PWY_7323_SP_of_GDP_mannose_derived_O_antigen_building_blocks_biosyn	diagnosis	CD	0.519039635636027	0.261212326309404	463	332	0.0475092518849992	0.129951777214851
PWY_841_SP_of_purine_nt_de_novo_biosyn_I	diagnosis	CD	-0.464275583381015	0.232195746896751	463	400	0.0461405818154526	0.129951777214851
TCA_GLYOX_BYPASS_SP_of_glyoxylate_bypass__TCA	diagnosis	CD	-0.400254688268755	0.211625628484876	463	70	0.0592064275010102	0.159599935002723
GLYOXYLATE_BYPASS_glyoxylate_cyc	diagnosis	CD	-0.694078838615313	0.371646868197917	463	126	0.0624554876365604	0.16595315286286
PWY_5723_Rubisco_shunt	diagnosis	CD	-0.468401949321326	0.251769675460651	463	105	0.0634600825847558	0.166247540292459
GLYCOGENSYNTH_PWY_glycogen_biosyn_I	diagnosis	CD	-0.492981287714823	0.274583231598013	463	405	0.0732479751010724	0.186631826969856
PWY_724_SP_of_L_lysine_L_threonine__L_methionine_biosyn_II	diagnosis	CD	-0.109458546111233	0.0609080683697676	463	460	0.0729724219986926	0.186631826969856
PWY_6317_galactose_deg_I	diagnosis	CD	0.286030823883577	0.161750002019304	463	446	0.0776634944991171	0.195208242930213
PWY_6608_guanosine_nt_deg_III	diagnosis	CD	0.412918808091717	0.236479328972257	463	401	0.0814580277591871	0.202015908842784
X1CMET2_PWY_N10_formyl_tetrahydrofolate_biosyn	diagnosis	CD	0.189866375816949	0.110563092865941	463	454	0.086601969128854	0.211281761324959
ANAEROFRUCAT_PWY_homolactic_fermentation	diagnosis	CD	0.221321196578385	0.131083006988124	463	448	0.0920097992866758	0.211281761324959
NONOXIPENT_PWY_pentose_phosphate_pwy	diagnosis	CD	0.142096808229443	0.0839918960276208	463	463	0.0913614348707788	0.211281761324959
OANTIGEN_PWY_O_antigen_building_blocks_biosyn	diagnosis	CD	-0.404510029462787	0.238872170932302	463	245	0.0910517815131316	0.211281761324959
PWY_3801_sucrose_deg_II	diagnosis	CD	-0.467372248360488	0.276521708349239	463	150	0.0916689929472386	0.211281761324959
PWY_7345_SP_of_anaerobic_sucrose_deg	diagnosis	CD	-0.472207734035121	0.279372094069664	463	150	0.0916567898444325	0.211281761324959
PWY_7228_SP_of_guanosine_nt_de_novo_biosyn_I	diagnosis	CD	-0.129550156118296	0.0801760599358293	463	459	0.106817145194838	0.242292548856583
PWY_5973_cis_vaccenate_biosyn	diagnosis	CD	0.164780727012751	0.102851245771551	463	459	0.109812540437475	0.246085933992413
PWY_5659_GDP_mannose_biosyn	diagnosis	CD	0.212926415621131	0.133758805893131	463	459	0.112099712495978	0.24822079195538
